mode,scenario,task,immediate_acc,final_acc,delta
ewc_stateful,cil,Subject_6_Exercise_3,0.7499007542675665,0.7499007542675665,0.0
stateful,cil,Subject_6_Exercise_1,0.6889661164205039,0.5247610773240661,-0.1642050390964378
stateful,cil,Subject_6_Exercise_2,0.6988322065150584,0.5832821143208359,-0.11555009219422252
stateful,cil,Subject_6_Exercise_3,0.7566494640730449,0.7566494640730449,0.0
ewc_stateful,cil,Subject_5_Exercise_1,0.6210801393728222,0.4729965156794425,-0.14808362369337974
ewc_stateful,cil,Subject_5_Exercise_2,0.6582512315270936,0.46921182266009853,-0.1890394088669951
ewc_stateful,cil,Subject_5_Exercise_3,0.6633549866259075,0.6633549866259075,0.0
stateful,cil,Subject_5_Exercise_1,0.6088850174216028,0.42334494773519166,-0.18554006968641118
stateful,cil,Subject_5_Exercise_2,0.5825123152709359,0.43842364532019706,-0.14408866995073888
stateful,cil,Subject_5_Exercise_3,0.6717615590370654,0.6717615590370654,0.0
stateful,dil,subject_1,0.8382608695652174,0.8043478260869565,-0.03391304347826085
stateful,dil,subject_2,0.7965065502183406,0.2279475982532751,-0.5685589519650656
stateful,dil,subject_3,0.8200873362445414,0.6524017467248908,-0.16768558951965062
stateful,dil,subject_4,0.7000871839581517,0.5858761987794245,-0.11421098517872719
stateful,dil,subject_5,0.5174216027874564,0.45905923344947736,-0.05836236933797906
stateful,dil,subject_6,0.685490877497828,0.38748913987836664,-0.29800173761946136
stateful,dil,subject_7,0.7140366172624237,0.6076721883173496,-0.10636442894507414
stateful,dil,subject_8,0.8841463414634146,0.20121951219512196,-0.6829268292682926
stateful,dil,subject_9,0.6803135888501742,0.3980836236933798,-0.28222996515679444
stateful,dil,subject_10,0.7907585004359198,0.5370531822144725,-0.25370531822144726
stateful,dil,subject_11,0.6875543951261966,0.4299390774586597,-0.2576153176675369
stateful,dil,subject_12,0.721496953872933,0.5596170583115753,-0.16187989556135773
stateful,dil,subject_13,0.8294168842471714,0.38816362053959963,-0.4412532637075718
stateful,dil,subject_14,0.7733217088055798,0.6024411508282476,-0.17088055797733226
stateful,dil,subject_15,0.857389801210026,0.36732929991356955,-0.4900605012964564
stateful,dil,subject_16,0.8873483535528596,0.5173310225303293,-0.3700173310225303
stateful,dil,subject_17,0.9110535405872193,0.49222797927461137,-0.41882556131260795
stateful,dil,subject_18,0.6496097137901128,0.4588031222896791,-0.19080659150043366
stateful,dil,subject_19,0.7027729636048526,0.1854419410745234,-0.5173310225303293
stateful,dil,subject_20,0.8980121002592912,0.6542783059636992,-0.24373379429559205
stateful,dil,subject_21,0.907679033649698,0.640207075064711,-0.26747195858498707
stateful,dil,subject_22,0.6362068965517241,0.3577586206896552,-0.27844827586206894
stateful,dil,subject_23,0.7729636048526863,0.5901213171577123,-0.18284228769497402
stateful,dil,subject_24,0.825711820534944,0.7549611734253667,-0.07075064710957724
stateful,dil,subject_25,0.7718236819360415,0.5704407951598963,-0.20138288677614513
stateful,dil,subject_26,0.7867012089810017,0.501727115716753,-0.2849740932642487
stateful,dil,subject_27,0.5839860748476936,0.5839860748476936,0.0
