mode,scenario,task,immediate_acc,final_acc,delta
ewc_stateful,cil,Subject_5_Exercise_2,0.6360837438423645,0.6348522167487685,-0.0012315270935960854
ewc_stateful,cil,Subject_5_Exercise_3,0.7435995414596867,0.7435995414596867,0.0
stateful,cil,Subject_5_Exercise_1,0.10975609756097561,0.5966898954703833,0.4869337979094077
stateful,cil,Subject_5_Exercise_2,0.4316502463054187,0.6151477832512315,0.18349753694581283
stateful,cil,Subject_5_Exercise_3,0.7286969812762706,0.7286969812762706,0.0
stateful,cil,Subject_7_Exercise_1,0.26591107236268524,0.5972101133391456,0.3312990409764604
stateful,cil,Subject_7_Exercise_2,0.6568446899938613,0.5923879680785759,-0.0644567219152854
stateful,cil,Subject_7_Exercise_3,0.7422270426608821,0.7422270426608821,0.0
herding_stateful,cil,Subject_3_Exercise_1,0.8061135371179039,0.38427947598253276,-0.42183406113537114
herding_stateful,cil,Subject_3_Exercise_2,0.7990135635018496,0.8144266337854501,0.015413070283600505
herding_stateful,cil,Subject_3_Exercise_3,0.6912181303116147,0.6912181303116147,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.7047038327526133,0.4965156794425087,-0.2081881533101046
ewc_stateful,cil,Subject_9_Exercise_2,0.7177121771217713,0.6051660516605166,-0.11254612546125464
ewc_stateful,cil,Subject_9_Exercise_3,0.7648809523809523,0.7648809523809523,0.0
herding_stateful,cil,Subject_6_Exercise_1,0.19374456993918332,0.3527367506516073,0.158992180712424
herding_stateful,cil,Subject_6_Exercise_2,0.5156730178242164,0.7055931161647203,0.18992009834050394
herding_stateful,cil,Subject_6_Exercise_3,0.7995236204843191,0.7995236204843191,0.0
stateless,cil,Subject_7_Exercise_1,0.7454228421970357,0.3295553618134263,-0.4158674803836094
stateless,cil,Subject_7_Exercise_2,0.910988336402701,0.6421117249846532,-0.26887661141804786
stateless,cil,Subject_7_Exercise_3,0.8821402747650036,0.8821402747650036,0.0
herding_stateful,cil,Subject_1_Exercise_1,0.6930434782608695,0.1356521739130435,-0.557391304347826
herding_stateful,cil,Subject_1_Exercise_2,0.8450184501845018,0.8862238622386224,0.04120541205412054
herding_stateful,cil,Subject_1_Exercise_3,0.7965277777777777,0.7965277777777777,0.0
stateless,cil,Subject_9_Exercise_1,0.695993031358885,0.156794425087108,-0.5391986062717771
stateless,cil,Subject_9_Exercise_2,0.906519065190652,0.7060270602706027,-0.20049200492004926
stateless,cil,Subject_9_Exercise_3,0.9114583333333334,0.9114583333333334,0.0
replay_stateful,cil,Subject_4_Exercise_1,0.4699215344376635,0.7733217088055798,0.30340017436791633
replay_stateful,cil,Subject_4_Exercise_2,0.23601720958819913,0.8236017209588199,0.5875845113706207
replay_stateful,cil,Subject_4_Exercise_3,0.17236024844720496,0.17236024844720496,0.0
replay_stateful,cil,Subject_5_Exercise_1,0.5174216027874564,0.6777003484320557,0.16027874564459932
replay_stateful,cil,Subject_5_Exercise_2,0.3355911330049261,0.6330049261083743,0.29741379310344823
replay_stateful,cil,Subject_5_Exercise_3,0.4551012609858617,0.4551012609858617,0.0
replay_stateful,cil,Subject_6_Exercise_1,0.7289313640312771,0.737619461337967,0.008688097306689846
replay_stateful,cil,Subject_6_Exercise_2,0.25138291333743085,0.7320221266133989,0.4806392132759681
replay_stateful,cil,Subject_6_Exercise_3,0.2703453751488686,0.2703453751488686,0.0
stateful,unknown,subject_1,0.8547826086956521,0.8,-0.0547826086956521
stateful,unknown,subject_2,0.8585152838427947,0.616593886462882,-0.2419213973799127
stateful,unknown,subject_3,0.8576419213973799,0.6882096069868996,-0.16943231441048034
stateful,unknown,subject_4,0.7680906713164778,0.42981691368788144,-0.33827375762859635
stateful,unknown,subject_5,0.6210801393728222,0.47735191637630664,-0.1437282229965156
stateful,unknown,subject_6,0.7671589921807124,0.4630755864465682,-0.30408340573414416
stateful,unknown,subject_7,0.7602441150828247,0.1952920662598082,-0.5649520488230165
stateful,unknown,subject_8,0.8998257839721254,0.37282229965156793,-0.5270034843205575
stateful,unknown,subject_9,0.7439024390243902,0.20993031358885017,-0.5339721254355401
stateful,unknown,subject_10,0.8544027898866609,0.4934612031386225,-0.36094158674803833
stateful,unknown,subject_11,0.7101827676240209,0.47693646649260224,-0.23324630113141864
stateful,unknown,subject_12,0.763272410791993,0.37684943429068757,-0.38642297650130547
stateful,unknown,subject_13,0.8598781549173194,0.6614447345517842,-0.19843342036553524
stateful,unknown,subject_14,0.7968613775065388,0.47951176983435045,-0.3173496076721884
stateful,unknown,subject_15,0.8694900605012964,0.6966292134831461,-0.1728608470181503
stateful,unknown,subject_16,0.8804159445407279,0.7322357019064125,-0.1481802426343154
stateful,unknown,subject_17,0.9075993091537133,0.689119170984456,-0.21848013816925738
stateful,unknown,subject_18,0.7068516912402428,0.6548135299219427,-0.05203816131830008
